# Creation date: Wed Jan 24 13:19:19 2024
# Software: PIVTEC PIVview Module - C:/Program Files/PIVtec/pivUtils_386/dpiv.exe
# Grid size: 63 horiz.nodes, 59 vert.nodes, 1 depth.nodes
# var 1: 'ix' - image coordinate X in [pixel]
# var 2: 'iy' - image coordinate Y in [pixel]
# var 3: 'iz' - image coordinate Z in [pixel]
# var 4: 'dx' - displacement conponent X in [pixel]
# var 5: 'dy' - displacement conponent Y in [pixel]
# var 6: 'flag' - status flag: 0=Disabled, 1=NoResult, 2=Outlier, 3=ValidData, 4=OtherPeak, 5=Interpolated
# var 7: 'count' - number of valid data at node
# var 8: 'valid' - validation_rate between 0 and 1
TITLE = "PIV Displacement Data : vp1a"
VARIABLES = "ix", "iy", "iz", "dx", "dy", "flag", "count", "valid"
ZONE I=63, J=59, K=1, F=POINT, T="vp1a"
8 8 0 0.143338 -0.0326604 3 1 1 
16 8 0 0.14141 -0.0250747 3 1 1 
24 8 0 0.169108 -0.0106628 3 1 1 
32 8 0 0.157316 0.0152201 3 1 1 
40 8 0 0.196942 0.00254695 3 1 1 
48 8 0 0.165922 -0.00548225 3 1 1 
56 8 0 0.223109 0.04697 3 1 1 
64 8 0 0.190035 -0.0242375 3 1 1 
72 8 0 0.232907 0.043119 3 1 1 
80 8 0 0.203053 0.0222103 3 1 1 
88 8 0 0.185494 0.0489151 3 1 1 
96 8 0 0.112828 0.0894357 3 1 1 
104 8 0 0.160321 0.138696 3 1 1 
112 8 0 0.122051 0.160666 3 1 1 
120 8 0 0.173471 0.175672 3 1 1 
128 8 0 0.187112 0.143197 3 1 1 
136 8 0 0.201305 0.15102 3 1 1 
144 8 0 0.199658 0.134041 3 1 1 
152 8 0 0.17449 0.149605 3 1 1 
160 8 0 0.147994 0.190747 3 1 1 
168 8 0 0.116766 0.203846 3 1 1 
176 8 0 0.130758 0.22574 3 1 1 
184 8 0 0.10712 0.263467 3 1 1 
192 8 0 0.122288 0.253538 3 1 1 
200 8 0 0.052582 0.204055 3 1 1 
208 8 0 0.0516813 0.15968 3 1 1 
216 8 0 0.0275817 0.046282 3 1 1 
224 8 0 0.139455 0.279775 3 1 1 
